WORD,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WORD,,,,,,,,,,,,,,,,,,,,,,list,,list,DWORD,,,,,,int,DWORD,string,int,BYTE,WORD,int,int,char[20],char[20],char[20],char[20],int,int,action,action,action,action,int,int,int,int,int,float,,int,,action,action,action,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,"Fresh Fruit",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,15,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it034,,,,,,,,,,,,,,,,,,,,,,,
391,"Eighth Aunt's Keepsake",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,1,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it033,,,,,,,,,,,,,,,,,,,,,,,
392,"Condor Claw",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it041,,,,,,,,,,,,,,,,,,,,,,,
393,"Boss Moneybag",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,1,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it035,,,,,,,,,,,,,,,,,,,,,,,
394,Codex,,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,1,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it036,,,,,,,,,,,,,,,,,,,,,,,
395,"Black Bear Fur",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it037,,,,,,,,,,,,,,,,,,,,,,,
396,"Mountain Wolf Meat",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it042,,,,,,,,,,,,,,,,,,,,,,,
397,"Kaoliang Spirit",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it043,,,,,,,,,,,,,,,,,,,,,,,
398,Ironstone,,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it038,,,,,,,,,,,,,,,,,,,,,,,
399,"Snow Hawk Eye",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it039,,,,,,,,,,,,,,,,,,,,,,,
400,"Snow Leopard Gallbladder",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it040,,,,,,,,,,,,,,,,,,,,,,,
401,"Small Emerald",,,40,,5,,,,,,1,,,,,,,1,1,1,0,1,,,1,,0,,,,,,,,,2000,80,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_ishop_004,,,,,,,,,,,,,,,,,,,,,,0,
402,"Medium Emerald",,,41,,5,,,,,,1,,,,,,,1,1,1,0,1,1,,1,,0,,,,,,,,,10000,80,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_ishop_005,,,,,,,,,,,,,,,,,,,,,,0,
403,"Large Emerald",,,42,,5,,,,,,1,,,,,,,1,1,1,0,1,1,,1,,0,,,,,,,,,5000000,120,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_ishop_006,,,,,,,,,,,,,,,,,,,,,,0,
404,"Small Ruby",,,43,,5,,,,,,1,,,,,,,1,1,1,0,1,,,1,,0,,,,,,,,,2000,50,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_ishop_007,,,,,,,,,,,,,,,,,,,,,,0,
405,"Medium Ruby",,,44,,5,,,,,,1,,,,,,,1,1,1,0,1,1,,1,,0,,,,,,,,,10000,50,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_ishop_008,,,,,,,,,,,,,,,,,,,,,,0,
406,"Large Ruby",,,45,,5,,,,,,1,,,,,,,1,1,1,0,1,1,,1,,0,,,,,,,,,5000000,60,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_ishop_009,,,,,,,,,,,,,,,,,,,,,,0,
407,"Roving Bandit Badge",,,,,5,,,,,,,,,,,,,,0,0,0,0,,,1,,0,1,1,2,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_it045,,,,,,,,,,,,,,,,,,,,,,0,
408,"Cavalry Bandit Badge",,,,,5,,,,,,,,,,,,,,0,0,0,0,,,1,,0,1,1,4,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_it045,,,,,,,,,,,,,,,,,,,,,,0,
409,"Herald Secret Letter",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,8,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_it046,,,,,,,,,,,,,,,,,,,,,,0,
410,"No-eyebrow Secret Letter",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,1,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_it047,,,,,,,,,,,,,,,,,,,,,,0,
411,"Withered Grass",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it048,,,,,,,,,,,,,,,,,,,,,,,
412,"Warrior's Feather",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,12,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it049,,,,,,,,,,,,,,,,,,,,,,,
413,Mane,,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,13,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it050,,,,,,,,,,,,,,,,,,,,,,,
414,"Wolf Tail",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,15,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it051,,,,,,,,,,,,,,,,,,,,,,,
415,"Wild Mule Fur",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,16,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it052,,,,,,,,,,,,,,,,,,,,,,,
416,"Forbidden Symbol",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it053,,,,,,,,,,,,,,,,,,,,,,,
417,"Spring Bamboo Shoot",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it054,,,,,,,,,,,,,,,,,,,,,,,
418,"Wild Rabbit Fur",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it055,,,,,,,,,,,,,,,,,,,,,,,
419,"Pangolin Body Fluid",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it056,,,,,,,,,,,,,,,,,,,,,,,
420,"Animal Bell",,,,,5,,,,,,,,,,,,,,0,0,0,0,,,0,,2,1,1,1,0,,0,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice,,,2,0,1,"NpcId=3411 && CanCapture=1",,,200,,5000,,,,,,,,,,,2000,1500,,1000,1000,,,,,,,,ChangeUnderling,,,,-2,ic_it057,,,,,,,,,,,,,,,,,,,,,,0,
421,"Trap Part",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,18,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it058,,,,,,,,,,,,,,,,,,,,,,,
422,"Peach Blossom Syrup",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it059,,,,,,,,,,,,,,,,,,,,,,,
423,"Animal Loop",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it060,,,,,,,,,,,,,,,,,,,,,,,
424,"Smudgy Peach Bole",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it061,,,,,,,,,,,,,,,,,,,,,,,
425,"Chip of Trap Picture",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it062,,,,,,,,,,,,,,,,,,,,,,,
426,"Black Wind Grass",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,25,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it063,,,,,,,,,,,,,,,,,,,,,,,
427,"Monster's Squama",,,,,5,,,,,,,,,,,,,,0,0,0,1,,,1,,0,1,1,20,0,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it064,,,,,,,,,,,,,,,,,,,,,,,
428,"Pet Capture Bell (trial)",,,,,5,,,,,,,,,,,,,,0,0,0,0,,,1,,2,1,1,1,0,,0,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,practice,,,2,0,1,"NpcId=3118 && CanCapture=1",,,200,,5000,,,,,,,,,,,2000,1500,,1000,1000,,,,,,,,ChangeUnderling,,,,-2,ic_it057,,,,,,,,,,,,,,,,,,,,,,0,
500,"Green Crystal (lvl 1)",,,65,,5,,,,,,1,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it500,,,,,,,,,,,,,,,,,,,,,,,
501,"Green Crystal (lvl 2)",,,65,,5,,,,,,1,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it501,,,,,,,,,,,,,,,,,,,,,,,
502,"Green Crystal (lvl 3)",,,65,,5,,,,,,1,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it502,,,,,,,,,,,,,,,,,,,,,,,
503,"Green Crystal (lvl 4)",,,65,,5,,,,,,1,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it503,,,,,,,,,,,,,,,,,,,,,,,
504,"Green Crystal (lvl 5)",,,65,,5,,,,,,1,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it504,,,,,,,,,,,,,,,,,,,,,,,
505,"Green Crystal (lvl 6)",,,65,,5,,,,,,1,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it505,,,,,,,,,,,,,,,,,,,,,,,
506,"Green Crystal (lvl 7)",,,65,,5,,,,,,1,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it506,,,,,,,,,,,,,,,,,,,,,,,
507,"Green Crystal (lvl 8)",,,65,,5,,,,,,1,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it507,,,,,,,,,,,,,,,,,,,,,,,
508,"Green Crystal (lvl 9)",,,65,,5,,,,,,1,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it508,,,,,,,,,,,,,,,,,,,,,,,
509,"Green Crystal (lvl 10)",,,65,,5,,,,,,1,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it509,,,,,,,,,,,,,,,,,,,,,,,
510,"Blue Crystal (lvl 1)",,,65,,5,,,,,,2,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it510,,,,,,,,,,,,,,,,,,,,,,,
511,"Blue Crystal (lvl 2)",,,65,,5,,,,,,2,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it511,,,,,,,,,,,,,,,,,,,,,,,
512,"Blue Crystal (lvl 3)",,,65,,5,,,,,,2,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it512,,,,,,,,,,,,,,,,,,,,,,,
513,"Blue Crystal (lvl 4)",,,65,,5,,,,,,2,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it513,,,,,,,,,,,,,,,,,,,,,,,
514,"Blue Crystal (lvl 5)",,,65,,5,,,,,,2,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it514,,,,,,,,,,,,,,,,,,,,,,,
515,"Blue Crystal (lvl 6)",,,65,,5,,,,,,2,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it515,,,,,,,,,,,,,,,,,,,,,,,
516,"Blue Crystal (lvl 7)",,,65,,5,,,,,,2,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it516,,,,,,,,,,,,,,,,,,,,,,,
517,"Blue Crystal (lvl 8)",,,65,,5,,,,,,2,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it517,,,,,,,,,,,,,,,,,,,,,,,
518,"Blue Crystal (lvl 9)",,,65,,5,,,,,,2,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it518,,,,,,,,,,,,,,,,,,,,,,,
519,"Blue Crystal (lvl 10)",,,65,,5,,,,,,2,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it519,,,,,,,,,,,,,,,,,,,,,,,
520,"Golden Crystal (lvl 1)",,,65,,5,,,,,,3,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it520,,,,,,,,,,,,,,,,,,,,,,,
521,"Golden Crystal (lvl 2)",,,65,,5,,,,,,3,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it521,,,,,,,,,,,,,,,,,,,,,,,
522,"Golden Crystal (lvl 3)",,,65,,5,,,,,,3,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it522,,,,,,,,,,,,,,,,,,,,,,,
523,"Golden Crystal (lvl 4)",,,65,,5,,,,,,3,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it523,,,,,,,,,,,,,,,,,,,,,,,
524,"Golden Crystal (lvl 5)",,,65,,5,,,,,,3,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it524,,,,,,,,,,,,,,,,,,,,,,,
525,"Golden Crystal (lvl 6)",,,65,,5,,,,,,3,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it525,,,,,,,,,,,,,,,,,,,,,,,
526,"Golden Crystal (lvl 7)",,,65,,5,,,,,,3,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it526,,,,,,,,,,,,,,,,,,,,,,,
527,"Golden Crystal (lvl 8)",,,65,,5,,,,,,3,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it527,,,,,,,,,,,,,,,,,,,,,,,
528,"Golden Crystal (lvl 9)",,,65,,5,,,,,,3,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it528,,,,,,,,,,,,,,,,,,,,,,,
529,"Golden Crystal (lvl 10)",,,65,,5,,,,,,3,,,,,,,,1,1,,1,,,1,,,1,1,10,,,,,,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ic_it529,,,,,,,,,,,,,,,,,,,,,,,
530,"Little Onion (Pet)",,,50,,5,,,,,,,,,,,,,1,1,1,0,0,1,,1,,2,,1,1,0,,0,,,50000,,,,,,,,,,,,,,,,,358,,,,,,,,,,,use_begin,use_loop,use_end,,2,1,0,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,ic_pet002,,,,,,,,,,,,,,,,,,,,,,0,1
531,"Ganoderma (Pet)",,,50,,5,,,,,,,,,,,,,1,1,1,0,0,1,,1,,2,,1,1,0,,0,,,1000,99,,,,,,,,,,,,,,,,359,,,,,,,,,,,use_begin,use_loop,use_end,,2,1,0,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,ic_pet003,,,,,,,,,,,,,,,,,,,,,,0,1
532,"Little Wild Mule (Pet)",,,50,,5,,,,,,,,,,,,,1,0,1,0,0,,,1,,2,,1,1,0,,0,,,3,,,,,,,,,,,,,,,,,360,,,,,,,,,,,use_begin,use_loop,use_end,,2,1,0,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,ic_pet004,,,,,,,,,,,,,,,,,,,,,,0,1
533,"Golden Monkey (Pet)",,,50,,5,,,,,,,,,,,,,1,1,1,0,0,1,,1,,2,,1,1,0,,0,,,1000,99,,,,,,,,,,,,,,,,361,,,,,,,,,,,use_begin,use_loop,use_end,,2,1,0,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,ic_pet005,,,,,,,,,,,,,,,,,,,,,,0,1
550,"Blue Field Chain Simitar",,,1,7,2,1,10,1,,10,3,,,,,,,,0,1,0,0,,,1,1,1,,,,,,,,1,100,,3000,,,,1,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,501;502;503;504;505,1349,551;552;553;554;555;556;557;558,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwqb01,iwqb01_L,iwqb01_L,iwqb01_L,,,iwqb01_R,iwqb01_R,iwqb01_R,,,Blink_wp_L,,,Blink_bk_L,Blink_wp_R,Blink_bk_R,,,,,,1,
551,"Purple Crystal Chain Simitar",,,1,7,2,1,20,10,,20,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,1,500,,3000,,,,10,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,501;502;503;504;505,1349,551;552;553;554;555;556;557;558,58,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwqb02,iwqb02_L,iwqb02_L_01,iwqb02_L_01,,,iwqb02_R,iwqb02_R_01,iwqb02_R_01,,,Blink_wp_L,,,Blink_bk_L,Blink_wp_R,Blink_bk_R,,,,,,1,
552,"Sky Thunder Chain Simitar",,,1,7,2,1,30,20,,30,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,1,1000,,3000,,,,20,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,501;502;503;504;505,1349,551;552;553;554;555;556;557;558,58,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwqb03,iwqb03_L,iwqb03_L_01,iwqb03_L_01,,,iwqb03_R,iwqb03_R_01,iwqb03_R_01,,,Blink_wp_L,,,Blink_bk_L,Blink_wp_R,Blink_bk_R,,,,,,1,
553,"Hundred Fights Chain Simitar",,,1,7,2,1,40,30,,40,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,1,3000,,3000,,,,30,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,501;502;503;504;505,1349,551;552;553;554;555;556;557;558,58,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwqb04,iwqb04_L,iwqb04_L_01,iwqb04_L_02,,,iwqb04_R,iwqb04_R_01,iwqb04_R_02,,,Blink_wp_L,,,Blink_bk_L,Blink_wp_R,Blink_bk_R,,,,,,1,
554,"Demon Ruin Chain Simitar",,,1,7,2,1,50,40,,50,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,1,5000,,3000,,,,40,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,501;502;503;504;505,1349,551;552;553;554;555;556;557;558,58,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwqb05,iwqb05_L,iwqb05_L_01,iwqb05_L_02,,,iwqb05_R,iwqb05_R_01,iwqb05_R_02,,,Blink_wp_L,,,Blink_bk_L,Blink_wp_R,Blink_bk_R,,,,,,1,
555,"Greedy Wolf Chain Simitar",,,1,7,2,1,60,50,,60,,,,,,,,,1,1,1,1,,,1,1,1,,,,,,,,1,8000,,3000,,,,50,,,,,,,,,ItemGetWeaponDPS*1.1,,,,,,,,,501;502;503;504;505,1349,551;552;553;554;555;556;557;558,58,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,ic_iwqb06,iwqb06_L,iwqb06_L_01,iwqb06_L_02,,,iwqb06_R,iwqb06_R_01,iwqb06_R_02,,,Blink_wp_L,,,Blink_bk_L,Blink_wp_R,Blink_bk_R,,,,,,1,
